SurveyResponseKey,TicketKey,SurveyResponseDate,AgentCourtesyRating,ResolutionQualityRating,WaitTimeRating,FirstContactResolution,NPS_Score,CustomerComment,ResponseTimeHours
658,1283,2026-04-26,3,3,3,1,4,The agent was fine but I had to wait.,10.84
659,1284,2026-05-02,5,5,5,1,9,"Great service, very professional and helpful.",35.65
660,1286,2026-06-22,5,4,3,1,7,Agent was friendly and solved my issue quickly.,11.68
661,1289,2025-06-14,5,3,4,1,4,"Great service, very professional and helpful.",8.83
662,1290,2025-09-08,3,4,3,1,6,"Great service, very professional and helpful.",15.32
663,1291,2026-03-12,3,4,5,1,5,"Resolved on the first call, very satisfied.",16.99
664,1292,2025-09-01,4,4,4,0,3,Quick response and clear explanation.,32.82
665,1293,2025-05-25,5,4,2,1,3,"Resolved on the first call, very satisfied.",55.22
666,1294,2025-11-17,5,5,4,1,5,"Great service, very professional and helpful.",30.78
667,1295,2025-04-20,3,3,2,1,6,Issue was resolved but it took a while.,1.96
668,1296,2025-05-15,4,4,4,1,6,"Great service, very professional and helpful.",38.67
669,1297,2026-03-14,2,2,1,1,0,Waited far too long and the problem is still not fixed.,16.81
670,1298,2026-07-02,5,4,4,1,6,"Great service, very professional and helpful.",2.25
671,1300,2025-02-12,4,5,5,0,5,"Resolved on the first call, very satisfied.",21.12
672,1301,2025-11-03,5,4,3,1,1,"Resolved on the first call, very satisfied.",62.75
673,1304,2025-12-02,3,4,5,1,5,"Polite and knowledgeable support, thank you.",14.23
674,1305,2025-11-08,4,3,2,1,7,Quick response and clear explanation.,28.48
675,1306,2025-07-18,4,4,3,1,6,"Great service, very professional and helpful.",41.66
676,1307,2026-05-01,4,5,3,1,8,"Polite and knowledgeable support, thank you.",16.54
677,1308,2025-07-06,4,3,4,1,7,Agent was friendly and solved my issue quickly.,12.59
678,1309,2025-11-23,4,5,4,1,6,Agent was friendly and solved my issue quickly.,39.14
679,1311,2026-04-03,5,3,4,1,3,"Polite and knowledgeable support, thank you.",30.89
680,1312,2026-08-09,5,5,5,1,7,"Polite and knowledgeable support, thank you.",4.98
681,1313,2025-11-23,5,4,3,1,4,"Resolved on the first call, very satisfied.",44.96
682,1314,2025-01-26,5,5,3,0,8,"Resolved on the first call, very satisfied.",25.94
683,1316,2025-12-29,5,5,3,1,4,Quick response and clear explanation.,31.45
684,1317,2026-07-02,4,5,4,1,10,Quick response and clear explanation.,28.94
685,1318,2025-10-26,5,5,5,1,9,"Great service, very professional and helpful.",29.64
686,1320,2026-02-25,3,4,3,1,6,"Great service, very professional and helpful.",19.93
687,1321,2026-02-05,4,1,2,0,3,"Support was okay, nothing exceptional.",15.56
688,1325,2026-03-07,2,2,2,1,0,The problem was not resolved and no follow-up.,38.37
689,1327,2026-06-10,4,5,5,1,8,"Polite and knowledgeable support, thank you.",16.74
690,1328,2026-01-13,5,5,5,1,7,"Polite and knowledgeable support, thank you.",16.08
691,1329,2025-03-19,5,5,4,1,8,"Great service, very professional and helpful.",20.42
692,1331,2025-10-29,4,4,3,1,5,Quick response and clear explanation.,42.04
693,1333,2025-11-08,4,4,3,0,5,"Support was okay, nothing exceptional.",11.98
694,1334,2025-06-25,4,4,5,1,8,"Great service, very professional and helpful.",20.24
695,1336,2025-11-14,3,2,1,1,3,"Very frustrating experience, poor communication.",4.34
696,1338,2026-01-09,2,3,1,1,4,Issue was resolved but it took a while.,4.03
697,1339,2026-08-06,4,5,3,1,5,Agent was friendly and solved my issue quickly.,34.7
698,1340,2026-04-14,4,5,4,0,5,"Polite and knowledgeable support, thank you.",33.21
699,1341,2025-11-07,5,4,4,1,8,"Great service, very professional and helpful.",10.3
700,1342,2025-03-17,5,5,5,1,8,"Great service, very professional and helpful.",18.35
701,1344,2026-04-15,4,5,5,1,7,Quick response and clear explanation.,41.95
702,1347,2025-04-09,5,3,4,1,2,"Great service, very professional and helpful.",19.36
703,1349,2026-08-10,3,1,2,1,0,The problem was not resolved and no follow-up.,13.19
704,1357,2025-04-26,5,5,5,1,6,"Polite and knowledgeable support, thank you.",23.75
705,1358,2025-11-06,5,4,4,1,8,"Great service, very professional and helpful.",53.36
706,1359,2025-10-29,5,5,5,1,6,"Polite and knowledgeable support, thank you.",26.19
707,1363,2025-10-19,5,4,4,1,2,"Polite and knowledgeable support, thank you.",28.54
708,1365,2026-04-09,3,4,3,1,3,Got what I needed eventually.,3.62
709,1367,2025-06-07,3,5,1,0,3,Issue was resolved but it took a while.,56.68
710,1368,2025-06-08,5,5,4,1,7,Agent was friendly and solved my issue quickly.,37.76
711,1369,2025-12-25,5,5,5,1,7,Agent was friendly and solved my issue quickly.,37.45
712,1371,2026-04-02,4,4,2,0,5,"Great service, very professional and helpful.",5.05
713,1372,2025-04-06,5,3,3,1,6,Agent was friendly and solved my issue quickly.,3.95
714,1373,2026-01-05,5,3,3,0,4,Agent was friendly and solved my issue quickly.,29.38
715,1374,2026-04-14,5,5,4,0,9,Agent was friendly and solved my issue quickly.,33.81
716,1376,2025-11-28,5,2,4,1,5,Quick response and clear explanation.,13.5
717,1378,2025-07-07,2,4,3,1,4,The agent was fine but I had to wait.,35.21
718,1379,2025-11-27,4,4,5,1,7,Quick response and clear explanation.,45.67
719,1382,2026-04-27,5,5,5,1,7,Agent was friendly and solved my issue quickly.,23.85
720,1383,2026-08-10,5,4,5,1,7,"Great service, very professional and helpful.",43.12
721,1386,2025-02-08,4,4,4,1,7,"Great service, very professional and helpful.",34.04
722,1387,2025-09-03,5,4,3,0,7,"Great service, very professional and helpful.",39.98
723,1388,2026-04-12,3,3,4,0,3,The agent was fine but I had to wait.,33.68
724,1390,2025-03-07,4,4,3,1,10,Quick response and clear explanation.,6.82
725,1393,2025-06-07,4,2,3,1,3,The agent was fine but I had to wait.,19.15
726,1394,2025-04-15,3,4,3,1,3,The agent was fine but I had to wait.,36.74
727,1396,2025-11-28,3,3,3,1,3,Issue was resolved but it took a while.,5.27
728,1402,2026-05-16,3,2,3,1,7,Average experience overall.,33.45
729,1404,2025-10-13,4,2,2,1,5,Issue was resolved but it took a while.,60.54
730,1405,2026-05-14,4,5,3,1,5,"Polite and knowledgeable support, thank you.",28.06
731,1407,2025-05-04,2,4,2,1,3,Got what I needed eventually.,46.16
732,1408,2026-03-30,4,5,3,1,3,"Polite and knowledgeable support, thank you.",45.75
733,1409,2025-08-11,3,4,4,0,5,"Resolved on the first call, very satisfied.",19.12
734,1411,2025-09-29,5,3,3,1,7,"Polite and knowledgeable support, thank you.",24.47
735,1412,2025-04-05,5,4,5,1,10,"Polite and knowledgeable support, thank you.",54.38
736,1415,2025-11-15,4,3,2,1,6,Average experience overall.,5.62
737,1419,2026-03-28,5,5,5,1,10,"Resolved on the first call, very satisfied.",3.1
738,1420,2026-07-26,4,3,4,0,3,The agent was fine but I had to wait.,35.96
739,1421,2026-01-10,5,4,3,1,4,"Resolved on the first call, very satisfied.",32.15
740,1424,2026-08-14,5,4,5,1,8,"Great service, very professional and helpful.",37.68
741,1425,2026-07-30,4,4,3,0,6,"Great service, very professional and helpful.",32.59
742,1429,2025-03-08,5,4,3,1,7,Agent was friendly and solved my issue quickly.,3.5
743,1430,2026-05-24,3,2,2,1,2,"Very frustrating experience, poor communication.",20.69
744,1432,2025-07-10,3,3,2,1,7,"Support was okay, nothing exceptional.",30.19
745,1433,2025-01-22,5,4,5,0,9,Agent was friendly and solved my issue quickly.,3.45
746,1438,2025-12-27,4,3,1,1,6,The agent was fine but I had to wait.,44.28
747,1440,2025-07-14,1,2,2,1,2,The problem was not resolved and no follow-up.,31.85
748,1441,2025-11-28,5,4,3,1,9,"Resolved on the first call, very satisfied.",43.05
749,1443,2026-05-14,5,5,4,1,5,Agent was friendly and solved my issue quickly.,43.46
750,1444,2025-07-14,4,3,1,1,4,Issue was resolved but it took a while.,22.57
751,1449,2025-08-25,5,5,5,1,7,Quick response and clear explanation.,43.03
752,1450,2026-08-11,5,5,5,1,9,"Resolved on the first call, very satisfied.",30.47
753,1451,2025-01-13,4,4,4,1,7,"Polite and knowledgeable support, thank you.",11.68
754,1452,2026-02-09,3,1,4,1,6,Average experience overall.,6.17
755,1454,2025-10-23,4,3,2,1,2,Average experience overall.,20.21
756,1456,2025-03-13,3,3,3,0,5,"Support was okay, nothing exceptional.",23.34
757,1458,2026-04-20,3,4,5,1,10,Quick response and clear explanation.,19.18
758,1459,2025-07-22,5,4,2,0,4,"Polite and knowledgeable support, thank you.",45.22
759,1463,2026-02-02,5,5,4,1,7,Agent was friendly and solved my issue quickly.,28.39
760,1467,2026-04-23,5,5,5,1,7,Quick response and clear explanation.,37.78
761,1468,2026-01-09,5,5,5,1,5,"Resolved on the first call, very satisfied.",13.29
762,1471,2025-08-03,4,4,3,1,6,Agent was friendly and solved my issue quickly.,31.1
763,1472,2025-06-06,2,3,1,1,2,Agent was not helpful and seemed rushed.,34.03
764,1474,2025-06-06,3,4,4,1,6,The agent was fine but I had to wait.,41.37
765,1475,2025-07-02,3,4,4,1,4,Quick response and clear explanation.,24.09
766,1476,2026-02-25,4,4,3,1,5,"Resolved on the first call, very satisfied.",19.17
767,1477,2025-06-02,3,3,3,1,3,Got what I needed eventually.,14.72
768,1478,2026-01-10,5,5,5,1,10,"Resolved on the first call, very satisfied.",38.23
769,1479,2026-01-14,5,5,5,1,7,Agent was friendly and solved my issue quickly.,5.51
770,1480,2025-10-30,4,2,2,1,4,"Polite and knowledgeable support, thank you.",39.17
771,1482,2025-06-21,5,4,3,1,8,"Polite and knowledgeable support, thank you.",11.41
772,1483,2026-04-18,5,4,3,1,9,"Resolved on the first call, very satisfied.",14.16
773,1484,2025-07-26,4,3,3,1,7,Got what I needed eventually.,28.73
774,1490,2025-08-29,3,2,2,1,4,Got what I needed eventually.,30.14
775,1491,2025-07-11,5,5,4,1,10,Quick response and clear explanation.,2.99
776,1492,2025-07-24,4,5,4,0,5,"Polite and knowledgeable support, thank you.",18.47
777,1493,2025-11-27,2,2,4,0,1,"Support was okay, nothing exceptional.",23.32
778,1494,2025-09-16,5,5,5,1,7,"Resolved on the first call, very satisfied.",42.54
779,1498,2025-06-26,4,2,3,1,5,"Support was okay, nothing exceptional.",25.41
780,1500,2025-06-04,5,4,5,1,4,Agent was friendly and solved my issue quickly.,17.18
781,1501,2025-01-19,3,3,3,1,3,Average experience overall.,20.99
782,1504,2026-05-20,3,4,2,1,8,Got what I needed eventually.,41.69
783,1505,2026-06-28,5,3,5,1,3,Agent was friendly and solved my issue quickly.,5.12
784,1506,2026-04-06,5,5,3,1,8,"Great service, very professional and helpful.",61.65
785,1507,2025-10-17,2,1,2,0,0,Agent was not helpful and seemed rushed.,22.65
786,1509,2025-03-28,3,5,5,1,8,"Polite and knowledgeable support, thank you.",48.26
787,1510,2025-07-18,3,3,2,1,3,"Support was okay, nothing exceptional.",18.78
788,1511,2026-05-12,5,5,3,1,10,Agent was friendly and solved my issue quickly.,19.16
789,1512,2025-05-05,4,3,3,0,5,Agent was friendly and solved my issue quickly.,2.81
790,1514,2026-04-23,5,5,5,1,10,"Resolved on the first call, very satisfied.",14.18
791,1517,2025-11-29,5,2,2,1,7,Average experience overall.,9.67
792,1519,2026-01-05,4,4,3,1,4,Got what I needed eventually.,17.24
793,1520,2025-06-09,5,3,4,1,4,Quick response and clear explanation.,9.66
794,1521,2025-02-28,4,3,3,1,2,"Support was okay, nothing exceptional.",4.53
795,1522,2025-08-28,5,5,4,1,8,"Great service, very professional and helpful.",17.27
796,1524,2026-05-20,2,3,2,1,4,The agent was fine but I had to wait.,10.32
797,1529,2025-02-28,4,4,5,0,3,Quick response and clear explanation.,31.24
798,1532,2025-04-23,4,1,1,0,3,Agent was not helpful and seemed rushed.,50.77
799,1533,2026-08-06,2,1,3,1,6,The problem was not resolved and no follow-up.,21.48
800,1534,2026-03-07,4,5,3,1,8,"Great service, very professional and helpful.",43.54
801,1537,2026-04-25,4,3,3,1,7,"Great service, very professional and helpful.",37.26
802,1538,2026-05-08,4,5,5,1,8,"Great service, very professional and helpful.",49.14
803,1539,2025-02-17,4,3,4,1,6,"Polite and knowledgeable support, thank you.",14.64
804,1541,2025-12-25,3,4,3,1,8,"Great service, very professional and helpful.",30.09
805,1542,2026-02-24,4,5,3,1,3,Quick response and clear explanation.,24.94
806,1543,2026-07-09,5,5,5,1,10,Quick response and clear explanation.,19.65
807,1544,2025-06-14,4,4,2,1,6,Got what I needed eventually.,19.51
808,1545,2025-02-14,3,4,4,0,8,"Polite and knowledgeable support, thank you.",1.99
809,1546,2025-12-11,4,2,3,1,3,Average experience overall.,36.49
810,1551,2026-03-11,4,5,3,1,7,"Great service, very professional and helpful.",27.6
811,1552,2026-05-06,4,4,3,0,6,Quick response and clear explanation.,4.83
812,1553,2026-05-01,5,3,5,1,9,"Resolved on the first call, very satisfied.",29.84
813,1554,2025-02-11,5,5,3,1,10,Quick response and clear explanation.,17.83
814,1556,2025-04-10,3,5,3,1,7,"Resolved on the first call, very satisfied.",33.22
815,1558,2026-05-19,4,3,2,0,4,"Polite and knowledgeable support, thank you.",28.46
816,1559,2025-03-22,5,5,3,1,9,"Polite and knowledgeable support, thank you.",19.28
817,1561,2026-04-05,5,4,5,1,7,"Resolved on the first call, very satisfied.",48.91
818,1563,2025-10-16,5,3,3,1,6,"Polite and knowledgeable support, thank you.",37.58
819,1565,2025-07-12,5,4,4,1,5,"Polite and knowledgeable support, thank you.",19.08
820,1567,2025-01-14,4,5,3,1,5,"Resolved on the first call, very satisfied.",30.52
821,1568,2025-08-09,4,5,4,1,8,Quick response and clear explanation.,25.59
822,1571,2026-02-10,4,5,4,1,10,"Great service, very professional and helpful.",19.73
823,1574,2026-02-07,4,4,3,1,6,"Resolved on the first call, very satisfied.",8.11
824,1578,2026-06-17,5,3,3,1,5,Average experience overall.,26.65
825,1579,2025-07-15,3,4,4,1,4,"Polite and knowledgeable support, thank you.",24.63
826,1580,2025-10-28,3,3,3,1,5,The agent was fine but I had to wait.,13.67
827,1582,2025-03-17,4,3,4,0,4,Agent was friendly and solved my issue quickly.,28.81
828,1583,2026-07-20,4,3,3,1,6,Agent was friendly and solved my issue quickly.,23.83
829,1584,2026-05-05,5,4,4,1,9,Quick response and clear explanation.,21.94
830,1585,2025-10-14,2,1,1,1,2,Waited far too long and the problem is still not fixed.,33.05
831,1586,2026-08-05,4,2,3,1,4,The agent was fine but I had to wait.,32.45
832,1587,2026-08-10,5,4,5,1,7,"Great service, very professional and helpful.",25.73
833,1589,2025-04-09,3,4,5,1,6,"Polite and knowledgeable support, thank you.",14.84
834,1590,2025-01-06,5,4,3,0,7,The agent was fine but I had to wait.,19.75
835,1591,2026-02-25,3,3,2,1,4,Average experience overall.,3.51
836,1592,2025-10-08,3,3,3,1,3,Average experience overall.,19.58
837,1594,2025-08-02,4,4,4,1,9,"Polite and knowledgeable support, thank you.",21.23
838,1595,2026-08-01,3,4,5,1,3,"Polite and knowledgeable support, thank you.",3.54
839,1597,2025-10-05,5,5,5,1,7,"Great service, very professional and helpful.",21.15
840,1598,2026-01-11,3,4,5,1,7,Quick response and clear explanation.,32.96
841,1599,2026-06-25,4,1,2,1,4,Got what I needed eventually.,41.22
842,1601,2026-04-29,4,5,5,0,7,"Polite and knowledgeable support, thank you.",25.55
843,1602,2025-07-06,4,5,1,1,6,Quick response and clear explanation.,28.0
844,1605,2026-04-11,3,5,5,1,5,"Polite and knowledgeable support, thank you.",0.9
845,1615,2026-06-08,4,3,2,1,3,Got what I needed eventually.,33.25
846,1617,2026-06-12,4,3,4,1,4,Got what I needed eventually.,16.07
847,1620,2026-03-06,5,5,3,1,7,"Resolved on the first call, very satisfied.",25.21
848,1622,2026-01-19,5,4,4,1,4,"Great service, very professional and helpful.",37.16
849,1623,2026-06-18,4,3,4,1,9,Quick response and clear explanation.,7.46
850,1626,2026-06-05,5,4,4,1,7,Agent was friendly and solved my issue quickly.,16.75
851,1627,2025-11-20,3,5,3,1,7,Quick response and clear explanation.,33.35
852,1629,2025-08-30,5,4,4,1,7,"Polite and knowledgeable support, thank you.",22.38
853,1631,2026-05-01,4,2,2,0,6,"Support was okay, nothing exceptional.",44.26
854,1634,2026-06-24,4,3,4,1,7,"Resolved on the first call, very satisfied.",1.65
855,1637,2025-08-06,5,5,4,1,6,Quick response and clear explanation.,23.67
856,1638,2025-05-11,5,5,5,1,8,Agent was friendly and solved my issue quickly.,13.63
857,1640,2026-01-10,5,5,4,1,10,"Resolved on the first call, very satisfied.",20.35
858,1641,2026-04-23,3,4,4,1,7,Agent was friendly and solved my issue quickly.,34.94
859,1643,2025-05-25,5,4,5,0,6,Quick response and clear explanation.,8.81
860,1644,2026-01-07,5,5,5,1,7,"Polite and knowledgeable support, thank you.",19.89
861,1645,2025-12-11,2,3,1,1,0,"Very frustrating experience, poor communication.",47.42
862,1646,2025-02-12,5,5,4,1,4,Quick response and clear explanation.,29.99
863,1647,2025-03-09,4,4,5,1,6,"Polite and knowledgeable support, thank you.",51.75
864,1649,2025-09-21,5,5,5,1,6,Quick response and clear explanation.,26.15
865,1651,2025-02-24,4,4,3,1,0,Average experience overall.,47.56
866,1652,2025-12-05,4,4,4,1,7,"Resolved on the first call, very satisfied.",34.6
867,1653,2025-05-16,4,5,5,1,10,"Great service, very professional and helpful.",53.97
868,1655,2025-05-06,4,5,5,1,8,"Polite and knowledgeable support, thank you.",26.49
869,1656,2025-05-06,4,4,5,1,6,Quick response and clear explanation.,0.26
870,1657,2025-04-07,3,4,3,1,6,Quick response and clear explanation.,16.54
871,1658,2025-06-02,2,2,1,0,3,Waited far too long and the problem is still not fixed.,46.89
872,1660,2025-03-12,1,1,1,0,1,The problem was not resolved and no follow-up.,20.79
873,1661,2026-01-15,5,4,4,1,1,Agent was friendly and solved my issue quickly.,24.32
874,1663,2026-06-19,3,4,4,1,6,Quick response and clear explanation.,11.1
875,1664,2025-02-06,4,2,3,0,4,Average experience overall.,43.34
876,1665,2025-05-23,5,4,5,1,10,"Resolved on the first call, very satisfied.",21.4
877,1666,2025-03-21,4,4,3,1,8,Agent was friendly and solved my issue quickly.,12.24
878,1669,2026-07-16,5,5,5,1,9,Agent was friendly and solved my issue quickly.,15.59
879,1671,2026-01-08,3,4,3,1,6,Got what I needed eventually.,37.79
880,1674,2025-07-15,4,3,4,1,6,"Resolved on the first call, very satisfied.",61.58
881,1675,2026-02-20,3,3,3,1,1,The agent was fine but I had to wait.,6.46
882,1676,2026-05-25,4,5,4,0,6,"Polite and knowledgeable support, thank you.",2.35
883,1679,2025-12-18,5,4,5,1,5,"Polite and knowledgeable support, thank you.",27.4
884,1680,2026-06-18,5,4,5,0,7,Quick response and clear explanation.,13.84
885,1681,2025-09-09,5,5,5,1,8,"Resolved on the first call, very satisfied.",38.26
886,1683,2026-06-28,2,2,3,0,6,Average experience overall.,15.65
887,1684,2025-10-06,5,4,5,1,10,Agent was friendly and solved my issue quickly.,32.52
888,1685,2026-06-08,3,3,3,1,1,Average experience overall.,14.7
889,1688,2025-12-03,4,2,3,0,4,Got what I needed eventually.,11.54
890,1692,2025-02-16,4,4,4,1,10,Agent was friendly and solved my issue quickly.,24.08
891,1695,2026-07-08,5,4,4,1,6,Agent was friendly and solved my issue quickly.,39.17
892,1698,2025-07-19,4,4,3,0,6,"Polite and knowledgeable support, thank you.",23.24
893,1700,2025-11-05,4,5,4,0,4,Quick response and clear explanation.,5.19
894,1702,2025-06-10,3,3,2,1,5,Issue was resolved but it took a while.,45.65
895,1706,2026-07-02,5,2,4,1,2,The agent was fine but I had to wait.,26.49
896,1707,2026-07-09,5,4,3,1,6,Agent was friendly and solved my issue quickly.,36.15
897,1710,2026-07-15,5,3,4,1,8,"Great service, very professional and helpful.",18.92
898,1711,2025-01-15,4,5,3,1,5,Quick response and clear explanation.,34.46
899,1714,2025-06-15,3,1,3,1,3,Issue was resolved but it took a while.,47.53
900,1715,2025-10-25,5,5,4,1,7,Agent was friendly and solved my issue quickly.,36.04
901,1718,2025-11-29,5,4,4,1,4,"Polite and knowledgeable support, thank you.",46.1
902,1723,2026-01-26,5,4,4,1,8,Agent was friendly and solved my issue quickly.,27.5
903,1725,2025-06-13,3,3,2,1,3,Average experience overall.,29.79
904,1727,2026-01-20,4,3,3,0,7,"Polite and knowledgeable support, thank you.",0.73
905,1730,2025-04-23,5,2,3,0,5,"Resolved on the first call, very satisfied.",28.32
906,1731,2025-03-06,3,4,4,1,3,Quick response and clear explanation.,5.24
907,1733,2025-04-04,4,4,3,1,6,"Great service, very professional and helpful.",27.76
908,1734,2025-09-07,5,3,5,1,7,"Great service, very professional and helpful.",58.97
909,1736,2025-04-09,3,4,3,1,4,The agent was fine but I had to wait.,21.56
910,1738,2026-01-23,5,5,5,0,7,Agent was friendly and solved my issue quickly.,14.93
911,1739,2025-01-05,3,2,4,1,4,The agent was fine but I had to wait.,16.98
912,1740,2025-03-15,3,4,4,0,8,Agent was friendly and solved my issue quickly.,13.02
913,1741,2026-05-06,3,2,3,0,6,Average experience overall.,37.16
914,1743,2025-10-31,4,5,5,1,8,Agent was friendly and solved my issue quickly.,26.24
915,1744,2026-02-10,4,5,5,0,7,"Great service, very professional and helpful.",28.87
916,1746,2026-04-13,5,3,5,1,9,Agent was friendly and solved my issue quickly.,28.91
917,1748,2026-08-01,4,3,4,0,5,"Resolved on the first call, very satisfied.",19.73
918,1749,2025-11-09,5,5,3,0,9,Agent was friendly and solved my issue quickly.,1.26
919,1752,2025-03-11,5,4,4,1,8,"Great service, very professional and helpful.",16.35
920,1755,2026-08-05,4,3,2,1,4,Got what I needed eventually.,49.61
921,1761,2026-03-23,4,3,3,1,3,The agent was fine but I had to wait.,24.46
922,1762,2025-10-02,3,4,4,1,4,"Polite and knowledgeable support, thank you.",20.95
923,1764,2026-08-12,2,2,3,1,1,"Support was okay, nothing exceptional.",39.84
924,1767,2026-02-03,5,4,5,1,10,Quick response and clear explanation.,17.38
925,1769,2026-02-23,5,4,4,1,8,"Polite and knowledgeable support, thank you.",8.0
926,1770,2026-01-15,3,2,3,1,3,"Support was okay, nothing exceptional.",31.88
927,1771,2026-04-07,5,5,3,1,8,"Great service, very professional and helpful.",37.02
928,1772,2026-05-22,5,5,5,1,9,"Resolved on the first call, very satisfied.",39.44
929,1773,2026-02-14,4,2,4,1,8,Quick response and clear explanation.,41.76
930,1775,2025-07-31,3,4,5,1,4,Quick response and clear explanation.,34.69
931,1777,2026-07-15,4,3,5,1,7,"Great service, very professional and helpful.",22.19
932,1778,2025-11-01,5,5,3,1,5,"Resolved on the first call, very satisfied.",31.91
933,1783,2025-07-04,5,5,3,1,9,"Resolved on the first call, very satisfied.",47.78
934,1785,2025-09-01,5,5,2,1,4,"Polite and knowledgeable support, thank you.",37.57
935,1787,2026-01-13,4,5,4,1,6,Quick response and clear explanation.,81.48
936,1788,2026-06-22,4,3,3,0,7,"Polite and knowledgeable support, thank you.",22.74
937,1789,2026-07-27,5,5,4,1,10,Quick response and clear explanation.,20.53
938,1791,2025-09-18,4,4,2,1,5,Average experience overall.,61.86
939,1792,2025-10-21,5,5,5,1,8,"Polite and knowledgeable support, thank you.",41.08
940,1793,2025-07-03,5,5,5,1,8,"Great service, very professional and helpful.",6.4
941,1794,2026-04-11,5,5,3,1,4,Quick response and clear explanation.,46.47
942,1795,2026-07-01,5,4,5,0,5,Quick response and clear explanation.,35.48
943,1798,2026-02-06,5,4,4,1,9,"Polite and knowledgeable support, thank you.",15.49
944,1799,2025-07-02,5,5,4,1,10,"Polite and knowledgeable support, thank you.",7.64
945,1800,2025-12-29,5,4,3,1,9,Agent was friendly and solved my issue quickly.,7.89
946,1802,2025-03-26,4,4,3,1,5,"Great service, very professional and helpful.",62.96
947,1804,2026-06-02,5,5,4,1,10,"Great service, very professional and helpful.",27.66
948,1805,2025-11-30,2,2,3,1,3,Average experience overall.,4.41
949,1807,2026-05-13,3,3,3,1,4,Average experience overall.,41.79
950,1808,2025-08-05,5,5,4,1,7,"Resolved on the first call, very satisfied.",21.19
951,1811,2025-04-02,2,1,1,1,2,Had to contact you multiple times for the same issue.,51.26
952,1812,2025-05-16,4,3,3,1,3,Issue was resolved but it took a while.,13.05
953,1817,2025-05-22,4,2,3,1,7,"Great service, very professional and helpful.",55.21
954,1820,2025-10-19,3,3,3,1,6,"Support was okay, nothing exceptional.",23.15
955,1821,2025-08-17,5,5,5,1,10,Quick response and clear explanation.,23.37
956,1823,2025-06-30,4,4,5,1,7,"Polite and knowledgeable support, thank you.",45.92
957,1824,2025-01-10,4,5,4,1,8,Agent was friendly and solved my issue quickly.,8.95
958,1825,2026-05-18,3,2,3,1,3,The problem was not resolved and no follow-up.,12.04
959,1826,2025-04-02,5,3,3,1,0,Got what I needed eventually.,24.15
960,1828,2026-04-13,4,2,1,1,3,Got what I needed eventually.,46.5
961,1830,2025-07-12,3,3,3,1,3,Issue was resolved but it took a while.,23.16
962,1831,2026-03-15,3,3,3,1,6,Quick response and clear explanation.,6.45
963,1832,2026-01-11,5,5,4,1,8,"Polite and knowledgeable support, thank you.",26.42
964,1833,2025-05-08,5,3,3,1,4,Average experience overall.,2.46
965,1836,2025-06-15,4,4,4,1,5,"Great service, very professional and helpful.",14.26
966,1839,2025-10-02,3,3,4,1,5,Issue was resolved but it took a while.,47.45
967,1842,2025-03-11,5,5,4,1,7,"Great service, very professional and helpful.",4.61
968,1843,2025-06-03,2,4,3,1,4,"Support was okay, nothing exceptional.",10.97
969,1845,2025-01-08,3,4,3,0,4,Got what I needed eventually.,20.15
970,1846,2025-02-20,5,4,4,1,6,"Polite and knowledgeable support, thank you.",6.54
971,1847,2025-05-25,3,5,4,1,2,"Resolved on the first call, very satisfied.",40.88
972,1848,2025-02-14,5,5,5,1,6,"Polite and knowledgeable support, thank you.",26.2
973,1850,2025-11-07,5,5,5,1,6,"Polite and knowledgeable support, thank you.",8.84
974,1853,2025-01-03,5,4,5,1,8,Agent was friendly and solved my issue quickly.,27.0
975,1854,2026-04-12,4,4,3,0,7,"Polite and knowledgeable support, thank you.",20.52
976,1855,2025-05-17,4,5,5,1,7,"Polite and knowledgeable support, thank you.",30.48
977,1857,2025-03-31,5,4,4,1,6,"Great service, very professional and helpful.",22.84
978,1858,2025-09-27,5,2,3,0,9,"Polite and knowledgeable support, thank you.",26.64
979,1859,2025-03-04,4,4,4,1,8,"Resolved on the first call, very satisfied.",30.85
980,1860,2025-11-13,5,3,4,1,8,Agent was friendly and solved my issue quickly.,6.18
981,1861,2025-09-17,3,3,4,1,5,Agent was friendly and solved my issue quickly.,23.95
982,1864,2026-01-12,4,5,5,1,6,"Great service, very professional and helpful.",0.4
983,1865,2025-07-22,3,3,2,1,4,"Support was okay, nothing exceptional.",12.9
984,1866,2026-01-07,5,5,5,1,10,Quick response and clear explanation.,13.62
985,1868,2026-03-19,4,4,4,1,6,"Polite and knowledgeable support, thank you.",37.19
986,1870,2026-06-24,5,5,5,1,10,Agent was friendly and solved my issue quickly.,25.33
987,1871,2025-04-16,4,4,2,1,3,"Resolved on the first call, very satisfied.",42.81
988,1872,2025-05-10,4,3,5,1,5,"Resolved on the first call, very satisfied.",36.47
989,1873,2025-10-06,5,5,4,1,9,"Great service, very professional and helpful.",3.1
990,1874,2026-05-30,5,5,5,0,8,"Polite and knowledgeable support, thank you.",10.64
991,1875,2026-05-23,4,3,3,0,7,Agent was friendly and solved my issue quickly.,56.03
992,1876,2026-07-26,5,5,3,1,7,"Polite and knowledgeable support, thank you.",12.44
993,1877,2026-05-11,4,4,2,0,8,Agent was friendly and solved my issue quickly.,59.64
994,1878,2025-04-29,4,4,4,1,4,Quick response and clear explanation.,21.3
995,1879,2025-01-28,3,3,4,0,0,Issue was resolved but it took a while.,13.75
996,1880,2025-06-14,5,3,4,1,9,Agent was friendly and solved my issue quickly.,14.66
